provinsi,wilayah,tahun_tanggal,positif_covid,kematian
Tasmania,Australia,2020-11-28,230,13
Victoria,Australia,2020-11-28,20345,819
Western Australia,Australia,2020-11-28,818,9
Australian Capital Territory,Australia,2020-11-29,117,3
New South Wales,Australia,2020-11-29,4577,53
Northern Territory,Australia,2020-11-29,52,0
Queensland,Australia,2020-11-29,1201,6
South Australia,Australia,2020-11-29,562,4
Tasmania,Australia,2020-11-29,230,13
Victoria,Australia,2020-11-29,20345,820
Western Australia,Australia,2020-11-29,818,9
Australian Capital Territory,Australia,2020-11-30,117,3
New South Wales,Australia,2020-11-30,4582,53
Northern Territory,Australia,2020-11-30,53,0
Queensland,Australia,2020-11-30,1202,6
South Australia,Australia,2020-11-30,562,4
Tasmania,Australia,2020-11-30,230,13
Victoria,Australia,2020-11-30,20345,820
Western Australia,Australia,2020-11-30,821,9
Australian Capital Territory,Australia,2020-12-01,117,3
New South Wales,Australia,2020-12-01,4588,53
Northern Territory,Australia,2020-12-01,53,0
Queensland,Australia,2020-12-01,1205,6
South Australia,Australia,2020-12-01,562,4
Tasmania,Australia,2020-12-01,230,13
Victoria,Australia,2020-12-01,20345,820
Western Australia,Australia,2020-12-01,823,9
Australian Capital Territory,Australia,2020-12-02,117,3
New South Wales,Australia,2020-12-02,4597,53
Northern Territory,Australia,2020-12-02,59,0
Queensland,Australia,2020-12-02,1206,6
South Australia,Australia,2020-12-02,562,4
Tasmania,Australia,2020-12-02,230,13
Victoria,Australia,2020-12-02,20345,820
Western Australia,Australia,2020-12-02,823,9
Australian Capital Territory,Australia,2020-12-03,117,3
New South Wales,Australia,2020-12-03,4603,53
Northern Territory,Australia,2020-12-03,59,0
Queensland,Australia,2020-12-03,1208,6
South Australia,Australia,2020-12-03,562,4
Tasmania,Australia,2020-12-03,230,13
Victoria,Australia,2020-12-03,20345,820
Western Australia,Australia,2020-12-03,825,9
Australian Capital Territory,Australia,2020-12-04,117,3
New South Wales,Australia,2020-12-04,4605,53
Northern Territory,Australia,2020-12-04,59,0
Queensland,Australia,2020-12-04,1210,6
South Australia,Australia,2020-12-04,562,4
Tasmania,Australia,2020-12-04,230,13
Victoria,Australia,2020-12-04,20345,820
Western Australia,Australia,2020-12-04,828,9
Australian Capital Territory,Australia,2020-12-05,117,3
New South Wales,Australia,2020-12-05,4610,53
Northern Territory,Australia,2020-12-05,59,0
Queensland,Australia,2020-12-05,1212,6
South Australia,Australia,2020-12-05,562,4
Tasmania,Australia,2020-12-05,230,13
Victoria,Australia,2020-12-05,20345,820
Western Australia,Australia,2020-12-05,830,9
Australian Capital Territory,Australia,2020-12-06,117,3
New South Wales,Australia,2020-12-06,4614,53
Northern Territory,Australia,2020-12-06,59,0
Queensland,Australia,2020-12-06,1215,6
South Australia,Australia,2020-12-06,562,4
Tasmania,Australia,2020-12-06,230,13
Victoria,Australia,2020-12-06,20345,820
Western Australia,Australia,2020-12-06,830,9
Australian Capital Territory,Australia,2020-12-07,117,3
New South Wales,Australia,2020-12-07,4620,53
Northern Territory,Australia,2020-12-07,61,0
Queensland,Australia,2020-12-07,1221,6
South Australia,Australia,2020-12-07,562,4
Tasmania,Australia,2020-12-07,230,13
Victoria,Australia,2020-12-07,20345,820
Western Australia,Australia,2020-12-07,831,9
Australian Capital Territory,Australia,2020-12-08,117,3
New South Wales,Australia,2020-12-08,4622,53
Northern Territory,Australia,2020-12-08,61,0
Queensland,Australia,2020-12-08,1221,6
South Australia,Australia,2020-12-08,562,4
Tasmania,Australia,2020-12-08,233,13
Victoria,Australia,2020-12-08,20345,820
Western Australia,Australia,2020-12-08,832,9
Australian Capital Territory,Australia,2020-12-09,117,3
New South Wales,Australia,2020-12-09,4624,53
Northern Territory,Australia,2020-12-09,61,0
Queensland,Australia,2020-12-09,1225,6
South Australia,Australia,2020-12-09,562,4
Tasmania,Australia,2020-12-09,234,13
Victoria,Australia,2020-12-09,20345,820
Western Australia,Australia,2020-12-09,832,9
Australian Capital Territory,Australia,2020-12-10,117,3
New South Wales,Australia,2020-12-10,4633,53
Northern Territory,Australia,2020-12-10,62,0
Queensland,Australia,2020-12-10,1224,6
South Australia,Australia,2020-12-10,562,4
Tasmania,Australia,2020-12-10,234,13
Victoria,Australia,2020-12-10,20345,820
Western Australia,Australia,2020-12-10,834,9
Australian Capital Territory,Australia,2020-12-11,117,3
New South Wales,Australia,2020-12-11,4639,53
Northern Territory,Australia,2020-12-11,62,0
Queensland,Australia,2020-12-11,1226,6
South Australia,Australia,2020-12-11,562,4
Tasmania,Australia,2020-12-11,234,13
Victoria,Australia,2020-12-11,20350,820
Western Australia,Australia,2020-12-11,835,9
Australian Capital Territory,Australia,2020-12-12,117,3
New South Wales,Australia,2020-12-12,4642,53
Northern Territory,Australia,2020-12-12,62,0
Queensland,Australia,2020-12-12,1226,6
South Australia,Australia,2020-12-12,562,4
Tasmania,Australia,2020-12-12,234,13
Victoria,Australia,2020-12-12,20351,820
Western Australia,Australia,2020-12-12,836,9
Australian Capital Territory,Australia,2020-12-13,117,3
New South Wales,Australia,2020-12-13,4645,53
Northern Territory,Australia,2020-12-13,63,0
Queensland,Australia,2020-12-13,1227,6
South Australia,Australia,2020-12-13,563,4
Tasmania,Australia,2020-12-13,234,13
Victoria,Australia,2020-12-13,20352,820
Western Australia,Australia,2020-12-13,836,9
Australian Capital Territory,Australia,2020-12-14,117,3
New South Wales,Australia,2020-12-14,4650,53
Northern Territory,Australia,2020-12-14,66,0
Queensland,Australia,2020-12-14,1228,6
South Australia,Australia,2020-12-14,563,4
Tasmania,Australia,2020-12-14,234,13
Victoria,Australia,2020-12-14,20352,820
Western Australia,Australia,2020-12-14,838,9
Australian Capital Territory,Australia,2020-12-15,117,3
New South Wales,Australia,2020-12-15,4657,53
Northern Territory,Australia,2020-12-15,66,0
Queensland,Australia,2020-12-15,1229,6
South Australia,Australia,2020-12-15,563,4
Tasmania,Australia,2020-12-15,234,13
Victoria,Australia,2020-12-15,20352,820
Western Australia,Australia,2020-12-15,842,9
Australian Capital Territory,Australia,2020-12-16,117,3
New South Wales,Australia,2020-12-16,4666,53
Northern Territory,Australia,2020-12-16,68,0
Queensland,Australia,2020-12-16,1230,6
South Australia,Australia,2020-12-16,563,4
Tasmania,Australia,2020-12-16,234,13
Victoria,Australia,2020-12-16,20351,820
Western Australia,Australia,2020-12-16,843,9
Australian Capital Territory,Australia,2020-12-17,117,3
New South Wales,Australia,2020-12-17,4682,53
Northern Territory,Australia,2020-12-17,68,0
Queensland,Australia,2020-12-17,1233,6
South Australia,Australia,2020-12-17,563,4
Tasmania,Australia,2020-12-17,234,13
Victoria,Australia,2020-12-17,20352,820
Western Australia,Australia,2020-12-17,844,9
Australian Capital Territory,Australia,2020-12-18,117,3
New South Wales,Australia,2020-12-18,4712,53
Northern Territory,Australia,2020-12-18,69,0
Queensland,Australia,2020-12-18,1232,6
South Australia,Australia,2020-12-18,563,4
Tasmania,Australia,2020-12-18,234,13
Victoria,Australia,2020-12-18,20354,820
Western Australia,Australia,2020-12-18,845,9
Australian Capital Territory,Australia,2020-12-19,117,3
New South Wales,Australia,2020-12-19,4748,53
Northern Territory,Australia,2020-12-19,71,0
Queensland,Australia,2020-12-19,1234,6
South Australia,Australia,2020-12-19,563,4
Tasmania,Australia,2020-12-19,234,13
Victoria,Australia,2020-12-19,20356,820
Western Australia,Australia,2020-12-19,845,9
Australian Capital Territory,Australia,2020-12-20,118,3
New South Wales,Australia,2020-12-20,4771,53
Northern Territory,Australia,2020-12-20,71,0
Queensland,Australia,2020-12-20,1235,6
South Australia,Australia,2020-12-20,566,4
Tasmania,Australia,2020-12-20,234,13
Victoria,Australia,2020-12-20,20357,820
Western Australia,Australia,2020-12-20,846,9
Australian Capital Territory,Australia,2020-12-21,118,3
New South Wales,Australia,2020-12-21,4789,53
Northern Territory,Australia,2020-12-21,71,0
Queensland,Australia,2020-12-21,1235,6
South Australia,Australia,2020-12-21,566,4
Tasmania,Australia,2020-12-21,234,13
Victoria,Australia,2020-12-21,20360,820
Western Australia,Australia,2020-12-21,846,9
Australian Capital Territory,Australia,2020-12-22,118,3
New South Wales,Australia,2020-12-22,4805,53
Northern Territory,Australia,2020-12-22,71,0
Queensland,Australia,2020-12-22,1236,6
South Australia,Australia,2020-12-22,566,4
Tasmania,Australia,2020-12-22,234,13
Victoria,Australia,2020-12-22,20361,820
Western Australia,Australia,2020-12-22,846,9
Australian Capital Territory,Australia,2020-12-23,118,3
New South Wales,Australia,2020-12-23,4823,53
Northern Territory,Australia,2020-12-23,73,0
Queensland,Australia,2020-12-23,1238,6
South Australia,Australia,2020-12-23,568,4
Tasmania,Australia,2020-12-23,234,13
Victoria,Australia,2020-12-23,20361,820
Western Australia,Australia,2020-12-23,847,9
Australian Capital Territory,Australia,2020-12-24,118,3
New South Wales,Australia,2020-12-24,4832,53
Northern Territory,Australia,2020-12-24,73,0
Queensland,Australia,2020-12-24,1240,6
South Australia,Australia,2020-12-24,568,4
Tasmania,Australia,2020-12-24,234,13
Victoria,Australia,2020-12-24,20361,820
Western Australia,Australia,2020-12-24,848,9
Australian Capital Territory,Australia,2020-12-25,118,3
New South Wales,Australia,2020-12-25,4847,53
Northern Territory,Australia,2020-12-25,73,0
Queensland,Australia,2020-12-25,1241,6
South Australia,Australia,2020-12-25,569,4
Tasmania,Australia,2020-12-25,234,13
Victoria,Australia,2020-12-25,20361,820
Western Australia,Australia,2020-12-25,854,9
Australian Capital Territory,Australia,2020-12-26,118,3
New South Wales,Australia,2020-12-26,4858,53
Northern Territory,Australia,2020-12-26,73,0
Queensland,Australia,2020-12-26,1241,6
South Australia,Australia,2020-12-26,569,4
Tasmania,Australia,2020-12-26,234,13
Victoria,Australia,2020-12-26,20362,820
Western Australia,Australia,2020-12-26,853,9
Australian Capital Territory,Australia,2020-12-27,118,3
New South Wales,Australia,2020-12-27,4872,54
Northern Territory,Australia,2020-12-27,73,0
Queensland,Australia,2020-12-27,1246,6
South Australia,Australia,2020-12-27,572,4
Tasmania,Australia,2020-12-27,234,13
Victoria,Australia,2020-12-27,20364,820
Western Australia,Australia,2020-12-27,858,9
Australian Capital Territory,Australia,2020-12-28,118,3
New South Wales,Australia,2020-12-28,4881,54
Northern Territory,Australia,2020-12-28,74,0
Queensland,Australia,2020-12-28,1248,6
South Australia,Australia,2020-12-28,572,4
Tasmania,Australia,2020-12-28,234,13
Victoria,Australia,2020-12-28,20364,820
Western Australia,Australia,2020-12-28,858,9
Australian Capital Territory,Australia,2020-12-29,118,3
New South Wales,Australia,2020-12-29,4906,54
Northern Territory,Australia,2020-12-29,74,0
Queensland,Australia,2020-12-29,1250,6
South Australia,Australia,2020-12-29,575,4
Tasmania,Australia,2020-12-29,234,13
Victoria,Australia,2020-12-29,20365,820
Western Australia,Australia,2020-12-29,859,9
Australian Capital Territory,Australia,2020-12-30,118,3
New South Wales,Australia,2020-12-30,4923,54
Northern Territory,Australia,2020-12-30,74,0
Queensland,Australia,2020-12-30,1253,6
South Australia,Australia,2020-12-30,576,4
Tasmania,Australia,2020-12-30,234,13
Victoria,Australia,2020-12-30,20368,820
Western Australia,Australia,2020-12-30,859,9
Australian Capital Territory,Australia,2020-12-31,118,3
New South Wales,Australia,2020-12-31,4928,54
Northern Territory,Australia,2020-12-31,75,0
Queensland,Australia,2020-12-31,1253,6
South Australia,Australia,2020-12-31,580,4
Tasmania,Australia,2020-12-31,234,13
Victoria,Australia,2020-12-31,20376,820
Western Australia,Australia,2020-12-31,861,9
Australian Capital Territory,Australia,2021-01-01,118,3
New South Wales,Australia,2021-01-01,4947,54
Northern Territory,Australia,2021-01-01,75,0
Queensland,Australia,2021-01-01,1255,6
South Australia,Australia,2021-01-01,580,4
Tasmania,Australia,2021-01-01,234,13
Victoria,Australia,2021-01-01,20388,820
Western Australia,Australia,2021-01-01,863,9
Australian Capital Territory,Australia,2021-01-02,118,3
New South Wales,Australia,2021-01-02,4958,54
Northern Territory,Australia,2021-01-02,81,0
Queensland,Australia,2021-01-02,1255,6
South Australia,Australia,2021-01-02,580,4
Tasmania,Australia,2021-01-02,234,13
Victoria,Australia,2021-01-02,20391,820
Western Australia,Australia,2021-01-02,867,9
Australian Capital Territory,Australia,2021-01-03,118,3
New South Wales,Australia,2021-01-03,4965,54
Northern Territory,Australia,2021-01-03,81,0
Queensland,Australia,2021-01-03,1260,6
South Australia,Australia,2021-01-03,583,4
Tasmania,Australia,2021-01-03,234,13
Victoria,Australia,2021-01-03,20395,820
Western Australia,Australia,2021-01-03,868,9
Australian Capital Territory,Australia,2021-01-04,118,3
New South Wales,Australia,2021-01-04,4973,54
Northern Territory,Australia,2021-01-04,81,0
Queensland,Australia,2021-01-04,1262,6
South Australia,Australia,2021-01-04,581,4
Tasmania,Australia,2021-01-04,234,13
Victoria,Australia,2021-01-04,20399,820
Western Australia,Australia,2021-01-04,869,9
Australian Capital Territory,Australia,2021-01-05,118,3
New South Wales,Australia,2021-01-05,4978,54
Northern Territory,Australia,2021-01-05,87,0
Queensland,Australia,2021-01-05,1263,6
South Australia,Australia,2021-01-05,582,4
Tasmania,Australia,2021-01-05,234,13
Victoria,Australia,2021-01-05,20402,820
Western Australia,Australia,2021-01-05,872,9
Australian Capital Territory,Australia,2021-01-06,118,3
New South Wales,Australia,2021-01-06,4984,54
Northern Territory,Australia,2021-01-06,87,0
Queensland,Australia,2021-01-06,1265,6
South Australia,Australia,2021-01-06,582,4
Tasmania,Australia,2021-01-06,234,13
Victoria,Australia,2021-01-06,20402,820
Western Australia,Australia,2021-01-06,874,9
Australian Capital Territory,Australia,2021-01-07,118,3
New South Wales,Australia,2021-01-07,4995,54
Northern Territory,Australia,2021-01-07,88,0
Queensland,Australia,2021-01-07,1274,6
South Australia,Australia,2021-01-07,585,4
Tasmania,Australia,2021-01-07,234,13
Victoria,Australia,2021-01-07,20403,820
Western Australia,Australia,2021-01-07,874,9
Australian Capital Territory,Australia,2021-01-08,118,3
New South Wales,Australia,2021-01-08,5001,54
Northern Territory,Australia,2021-01-08,90,0
Queensland,Australia,2021-01-08,1274,6
South Australia,Australia,2021-01-08,587,4
Tasmania,Australia,2021-01-08,234,13
Victoria,Australia,2021-01-08,20404,820
Western Australia,Australia,2021-01-08,874,9
Australian Capital Territory,Australia,2021-01-09,118,3
New South Wales,Australia,2021-01-09,5007,54
Northern Territory,Australia,2021-01-09,90,0
Queensland,Australia,2021-01-09,1274,6
South Australia,Australia,2021-01-09,587,4
Tasmania,Australia,2021-01-09,234,13
Victoria,Australia,2021-01-09,20410,820
Western Australia,Australia,2021-01-09,875,9
Australian Capital Territory,Australia,2021-01-10,118,3
New South Wales,Australia,2021-01-10,5018,54
Northern Territory,Australia,2021-01-10,90,0
Queensland,Australia,2021-01-10,1278,6
South Australia,Australia,2021-01-10,588,4
Tasmania,Australia,2021-01-10,234,13
Victoria,Australia,2021-01-10,20411,820
Western Australia,Australia,2021-01-10,877,9
Australian Capital Territory,Australia,2021-01-11,118,3
New South Wales,Australia,2021-01-11,5034,54
Northern Territory,Australia,2021-01-11,90,0
Queensland,Australia,2021-01-11,1281,6
South Australia,Australia,2021-01-11,588,4
Tasmania,Australia,2021-01-11,234,13
Victoria,Australia,2021-01-11,20411,820
Western Australia,Australia,2021-01-11,878,9
Australian Capital Territory,Australia,2021-01-12,118,3
New South Wales,Australia,2021-01-12,5041,54
Northern Territory,Australia,2021-01-12,91,0
Queensland,Australia,2021-01-12,1283,6
South Australia,Australia,2021-01-12,590,4
Tasmania,Australia,2021-01-12,234,13
Victoria,Australia,2021-01-12,20414,820
Western Australia,Australia,2021-01-12,879,9
Australian Capital Territory,Australia,2021-01-13,118,3
New South Wales,Australia,2021-01-13,5043,54
Northern Territory,Australia,2021-01-13,93,0
Queensland,Australia,2021-01-13,1287,6
South Australia,Australia,2021-01-13,590,4
Tasmania,Australia,2021-01-13,234,13
Victoria,Australia,2021-01-13,20414,820
Western Australia,Australia,2021-01-13,881,9
Australian Capital Territory,Australia,2021-01-14,118,3
New South Wales,Australia,2021-01-14,5045,54
Northern Territory,Australia,2021-01-14,93,0
Queensland,Australia,2021-01-14,1290,6
South Australia,Australia,2021-01-14,591,4
Tasmania,Australia,2021-01-14,234,13
Victoria,Australia,2021-01-14,20414,820
Western Australia,Australia,2021-01-14,884,9
Australian Capital Territory,Australia,2021-01-15,118,3
New South Wales,Australia,2021-01-15,5057,54
Northern Territory,Australia,2021-01-15,93,0
Queensland,Australia,2021-01-15,1291,6
South Australia,Australia,2021-01-15,593,4
Tasmania,Australia,2021-01-15,234,13
Victoria,Australia,2021-01-15,20417,820
Western Australia,Australia,2021-01-15,886,9
Australian Capital Territory,Australia,2021-01-16,118,3
New South Wales,Australia,2021-01-16,5066,54
Northern Territory,Australia,2021-01-16,93,0
Queensland,Australia,2021-01-16,1293,6
South Australia,Australia,2021-01-16,593,4
Tasmania,Australia,2021-01-16,234,13
Victoria,Australia,2021-01-16,20424,820
Western Australia,Australia,2021-01-16,887,9
Australian Capital Territory,Australia,2021-01-17,118,3
New South Wales,Australia,2021-01-17,5074,54
Northern Territory,Australia,2021-01-17,93,0
Queensland,Australia,2021-01-17,1294,6
South Australia,Australia,2021-01-17,593,4
Tasmania,Australia,2021-01-17,234,13
Victoria,Australia,2021-01-17,20428,820
Western Australia,Australia,2021-01-17,887,9
Australian Capital Territory,Australia,2021-01-18,118,3
New South Wales,Australia,2021-01-18,5076,54
Northern Territory,Australia,2021-01-18,93,0
Queensland,Australia,2021-01-18,1297,6
South Australia,Australia,2021-01-18,593,4
Tasmania,Australia,2021-01-18,234,13
Victoria,Australia,2021-01-18,20432,820
Western Australia,Australia,2021-01-18,888,9
Australian Capital Territory,Australia,2021-01-19,118,3
New South Wales,Australia,2021-01-19,5079,54
Northern Territory,Australia,2021-01-19,95,0
Queensland,Australia,2021-01-19,1299,6
South Australia,Australia,2021-01-19,594,4
Tasmania,Australia,2021-01-19,234,13
Victoria,Australia,2021-01-19,20433,820
Western Australia,Australia,2021-01-19,888,9
Australian Capital Territory,Australia,2021-01-20,118,3
New South Wales,Australia,2021-01-20,5084,54
Northern Territory,Australia,2021-01-20,96,0
Queensland,Australia,2021-01-20,1300,6
South Australia,Australia,2021-01-20,596,4
Tasmania,Australia,2021-01-20,234,13
Victoria,Australia,2021-01-20,20433,820
Western Australia,Australia,2021-01-20,888,9
Australian Capital Territory,Australia,2021-01-21,118,3
New South Wales,Australia,2021-01-21,5083,54
Northern Territory,Australia,2021-01-21,97,0
Queensland,Australia,2021-01-21,1303,6
South Australia,Australia,2021-01-21,596,4
Tasmania,Australia,2021-01-21,234,13
Victoria,Australia,2021-01-21,20434,820
Western Australia,Australia,2021-01-21,890,9
Australian Capital Territory,Australia,2021-01-22,118,3
New South Wales,Australia,2021-01-22,5084,54
Northern Territory,Australia,2021-01-22,98,0
Queensland,Australia,2021-01-22,1303,6
South Australia,Australia,2021-01-22,596,4
Tasmania,Australia,2021-01-22,234,13
Victoria,Australia,2021-01-22,20437,820
Western Australia,Australia,2021-01-22,890,9
Australian Capital Territory,Australia,2021-01-23,118,3
New South Wales,Australia,2021-01-23,5087,54
Northern Territory,Australia,2021-01-23,98,0
Queensland,Australia,2021-01-23,1303,6
South Australia,Australia,2021-01-23,596,4
Tasmania,Australia,2021-01-23,234,13
Victoria,Australia,2021-01-23,20436,820
Western Australia,Australia,2021-01-23,894,9
Australian Capital Territory,Australia,2021-01-24,118,3
New South Wales,Australia,2021-01-24,5090,54
Northern Territory,Australia,2021-01-24,98,0
Queensland,Australia,2021-01-24,1305,6
South Australia,Australia,2021-01-24,596,4
Tasmania,Australia,2021-01-24,234,13
Victoria,Australia,2021-01-24,20442,820
Western Australia,Australia,2021-01-24,894,9
Australian Capital Territory,Australia,2021-01-25,118,3
New South Wales,Australia,2021-01-25,5091,54
Northern Territory,Australia,2021-01-25,98,0
Queensland,Australia,2021-01-25,1305,6
South Australia,Australia,2021-01-25,596,4
Tasmania,Australia,2021-01-25,234,13
Victoria,Australia,2021-01-25,20443,820
Western Australia,Australia,2021-01-25,895,9
Australian Capital Territory,Australia,2021-01-26,118,3
New South Wales,Australia,2021-01-26,5093,54
Northern Territory,Australia,2021-01-26,98,0
Queensland,Australia,2021-01-26,1306,6
South Australia,Australia,2021-01-26,596,4
Tasmania,Australia,2021-01-26,234,13
Victoria,Australia,2021-01-26,20444,820
Western Australia,Australia,2021-01-26,897,9
Australian Capital Territory,Australia,2021-01-27,118,3
New South Wales,Australia,2021-01-27,5096,54
Northern Territory,Australia,2021-01-27,98,0
Queensland,Australia,2021-01-27,1307,6
South Australia,Australia,2021-01-27,596,4
Tasmania,Australia,2021-01-27,234,13
Victoria,Australia,2021-01-27,20447,820
Western Australia,Australia,2021-01-27,898,9
Australian Capital Territory,Australia,2021-01-28,118,3
New South Wales,Australia,2021-01-28,5099,54
Northern Territory,Australia,2021-01-28,98,0
Queensland,Australia,2021-01-28,1308,6
South Australia,Australia,2021-01-28,596,4
Tasmania,Australia,2021-01-28,234,13
Victoria,Australia,2021-01-28,20448,820
Western Australia,Australia,2021-01-28,898,9
Australian Capital Territory,Australia,2021-01-29,118,3
New South Wales,Australia,2021-01-29,5101,54
Northern Territory,Australia,2021-01-29,98,0
Queensland,Australia,2021-01-29,1309,6
South Australia,Australia,2021-01-29,596,4
Tasmania,Australia,2021-01-29,234,13
Victoria,Australia,2021-01-29,20448,820
Western Australia,Australia,2021-01-29,902,9
Australian Capital Territory,Australia,2021-01-30,118,3
New South Wales,Australia,2021-01-30,5104,54
Northern Territory,Australia,2021-01-30,98,0
Queensland,Australia,2021-01-30,1309,6
South Australia,Australia,2021-01-30,597,4
Tasmania,Australia,2021-01-30,234,13
Victoria,Australia,2021-01-30,20448,820
Western Australia,Australia,2021-01-30,903,9
Australian Capital Territory,Australia,2021-01-31,118,3
New South Wales,Australia,2021-01-31,5110,54
Northern Territory,Australia,2021-01-31,98,0
Queensland,Australia,2021-01-31,1310,6
South Australia,Australia,2021-01-31,596,4
Tasmania,Australia,2021-01-31,234,13
Victoria,Australia,2021-01-31,20449,820
Western Australia,Australia,2021-01-31,903,9
Australian Capital Territory,Australia,2021-02-01,118,3
New South Wales,Australia,2021-02-01,5112,54
Northern Territory,Australia,2021-02-01,98,0
Queensland,Australia,2021-02-01,1311,6
South Australia,Australia,2021-02-01,597,4
Tasmania,Australia,2021-02-01,234,13
Victoria,Australia,2021-02-01,20450,820
Western Australia,Australia,2021-02-01,903,9
Australian Capital Territory,Australia,2021-02-02,118,3
New South Wales,Australia,2021-02-02,5114,54
Northern Territory,Australia,2021-02-02,98,0
Queensland,Australia,2021-02-02,1311,6
South Australia,Australia,2021-02-02,601,4
Tasmania,Australia,2021-02-02,234,13
Victoria,Australia,2021-02-02,20449,820
Western Australia,Australia,2021-02-02,904,9
Australian Capital Territory,Australia,2021-02-03,118,3
New South Wales,Australia,2021-02-03,5117,54
Northern Territory,Australia,2021-02-03,99,0
Queensland,Australia,2021-02-03,1311,6
South Australia,Australia,2021-02-03,601,4
Tasmania,Australia,2021-02-03,234,13
Victoria,Australia,2021-02-03,20452,820
Western Australia,Australia,2021-02-03,906,9
Australian Capital Territory,Australia,2021-02-04,118,3
New South Wales,Australia,2021-02-04,5117,54
Northern Territory,Australia,2021-02-04,99,0
Queensland,Australia,2021-02-04,1309,6
South Australia,Australia,2021-02-04,602,4
Tasmania,Australia,2021-02-04,234,13
Victoria,Australia,2021-02-04,20456,820
Western Australia,Australia,2021-02-04,907,9
Australian Capital Territory,Australia,2021-02-05,118,3
New South Wales,Australia,2021-02-05,5119,54
Northern Territory,Australia,2021-02-05,101,0
Queensland,Australia,2021-02-05,1311,6
South Australia,Australia,2021-02-05,602,4
Tasmania,Australia,2021-02-05,234,13
Victoria,Australia,2021-02-05,20456,820
Western Australia,Australia,2021-02-05,907,9
Australian Capital Territory,Australia,2021-02-06,118,3
New South Wales,Australia,2021-02-06,5120,54
Northern Territory,Australia,2021-02-06,102,0
Queensland,Australia,2021-02-06,1312,6
South Australia,Australia,2021-02-06,602,4
Tasmania,Australia,2021-02-06,234,13
Victoria,Australia,2021-02-06,20456,820
Western Australia,Australia,2021-02-06,907,9
Australian Capital Territory,Australia,2021-02-07,118,3
New South Wales,Australia,2021-02-07,5123,54
Northern Territory,Australia,2021-02-07,102,0
Queensland,Australia,2021-02-07,1314,6
South Australia,Australia,2021-02-07,603,4
Tasmania,Australia,2021-02-07,234,13
Victoria,Australia,2021-02-07,20456,820
Western Australia,Australia,2021-02-07,907,9
Australian Capital Territory,Australia,2021-02-08,118,3
New South Wales,Australia,2021-02-08,5125,54
Northern Territory,Australia,2021-02-08,102,0
Queensland,Australia,2021-02-08,1315,6
South Australia,Australia,2021-02-08,603,4
Tasmania,Australia,2021-02-08,234,13
Victoria,Australia,2021-02-08,20456,820
Western Australia,Australia,2021-02-08,907,9
Australian Capital Territory,Australia,2021-02-09,118,3
New South Wales,Australia,2021-02-09,5129,54
Northern Territory,Australia,2021-02-09,102,0
Queensland,Australia,2021-02-09,1316,6
South Australia,Australia,2021-02-09,605,4
Tasmania,Australia,2021-02-09,234,13
Victoria,Australia,2021-02-09,20458,820
Western Australia,Australia,2021-02-09,909,9
Australian Capital Territory,Australia,2021-02-10,118,3
New South Wales,Australia,2021-02-10,5132,54
Northern Territory,Australia,2021-02-10,102,0
Queensland,Australia,2021-02-10,1317,6
South Australia,Australia,2021-02-10,606,4
Tasmania,Australia,2021-02-10,234,13
Victoria,Australia,2021-02-10,20460,820
Western Australia,Australia,2021-02-10,910,9
Australian Capital Territory,Australia,2021-02-11,118,3
New South Wales,Australia,2021-02-11,5134,54
Northern Territory,Australia,2021-02-11,102,0
Queensland,Australia,2021-02-11,1318,6
South Australia,Australia,2021-02-11,606,4
Tasmania,Australia,2021-02-11,234,13
Victoria,Australia,2021-02-11,20465,820
Western Australia,Australia,2021-02-11,910,9
Australian Capital Territory,Australia,2021-02-12,118,3
New South Wales,Australia,2021-02-12,5136,54
Northern Territory,Australia,2021-02-12,102,0
Queensland,Australia,2021-02-12,1320,6
South Australia,Australia,2021-02-12,606,4
Tasmania,Australia,2021-02-12,234,13
Victoria,Australia,2021-02-12,20466,820
Western Australia,Australia,2021-02-12,910,9
Australian Capital Territory,Australia,2021-02-13,118,3
New South Wales,Australia,2021-02-13,5138,54
Northern Territory,Australia,2021-02-13,103,0
Queensland,Australia,2021-02-13,1320,6
South Australia,Australia,2021-02-13,606,4
Tasmania,Australia,2021-02-13,234,13
Victoria,Australia,2021-02-13,20469,820
Western Australia,Australia,2021-02-13,910,9
Australian Capital Territory,Australia,2021-02-14,118,3
New South Wales,Australia,2021-02-14,5138,54
Northern Territory,Australia,2021-02-14,103,0
Queensland,Australia,2021-02-14,1320,6
South Australia,Australia,2021-02-14,606,4
Tasmania,Australia,2021-02-14,234,13
Victoria,Australia,2021-02-14,20471,820
Western Australia,Australia,2021-02-14,910,9
Australian Capital Territory,Australia,2021-02-15,118,3
New South Wales,Australia,2021-02-15,5139,54
Northern Territory,Australia,2021-02-15,103,0
Queensland,Australia,2021-02-15,1320,6
South Australia,Australia,2021-02-15,606,4
Tasmania,Australia,2021-02-15,234,13
Victoria,Australia,2021-02-15,20475,820
Western Australia,Australia,2021-02-15,910,9
Australian Capital Territory,Australia,2021-02-16,118,3
New South Wales,Australia,2021-02-16,5143,54
Northern Territory,Australia,2021-02-16,103,0
Queensland,Australia,2021-02-16,1320,6
South Australia,Australia,2021-02-16,608,4
Tasmania,Australia,2021-02-16,234,13
Victoria,Australia,2021-02-16,20475,820
Western Australia,Australia,2021-02-16,910,9
Australian Capital Territory,Australia,2021-02-17,118,3
New South Wales,Australia,2021-02-17,5143,54
